Number	Offset	Address		Size	Type	String
15026	00389c2c	00789c2c	Section(1)['.rdata']	1f	A	Exception caught in onEvent. %s
15027	00389dd8	00789dd8	Section(1)['.rdata']	09	A	"%s_%d_H"
15028	00389de4	00789de4	Section(1)['.rdata']	09	A	"%s_%d_D"
15029	00389df0	00789df0	Section(1)['.rdata']	07	A	"%s_%d"
15030	00389df8	00789df8	Section(1)['.rdata']	10	A	arrowright_green
15031	00389e0c	00789e0c	Section(1)['.rdata']	0f	A	arrowleft_green
15032	00389e1c	00789e1c	Section(1)['.rdata']	0b	A	refresh_doc
15033	00389e28	00789e28	Section(1)['.rdata']	0a	A	home_brown
15034	00389e3c	00789e3c	Section(1)['.rdata']	05	A	group
15035	00389e44	00789e44	Section(1)['.rdata']	07	A	ungroup
15036	00389e4c	00789e4c	Section(1)['.rdata']	07	A	recycle
15037	00389e54	00789e54	Section(1)['.rdata']	09	A	lock_open
15038	00389e68	00789e68	Section(1)['.rdata']	08	A	paintcan
15039	00389e74	00789e74	Section(1)['.rdata']	0f	A	paste_clipboard
15040	00389e84	00789e84	Section(1)['.rdata']	0d	A	cut_clipboard
15041	00389e94	00789e94	Section(1)['.rdata']	0e	A	copy_clipboard
15042	00389ea4	00789ea4	Section(1)['.rdata']	08	A	delete_x
15043	00389ec8	00789ec8	Section(1)['.rdata']	0d	A	open_document
15044	00389ed8	00789ed8	Section(1)['.rdata']	0c	A	new_document
15045	00389ee8	00789ee8	Section(1)['.rdata']	0b	A	DockingPane
15046	00389ef4	00789ef4	Section(1)['.rdata']	07	A	Options
15047	00389efc	00789efc	Section(1)['.rdata']	09	A	Shortcuts
15048	00389f08	00789f08	Section(1)['.rdata']	0b	A	CommandBars
15049	00389f14	00789f14	Section(1)['.rdata']	12	A	Camera Positioning
15050	00389f28	00789f28	Section(1)['.rdata']	06	A	Item%i
15051	00389f30	00789f30	Section(1)['.rdata']	39	A	CMainFrame::RestoreResolution ChangeDisplaySettings == %d
15052	00389f6c	00789f6c	Section(1)['.rdata']	28	A	CMainFrame::RestoreResolution hm is NULL
15053	0038a120	0078a120	Section(1)['.rdata']	07	A	Command
15054	0038a128	0078a128	Section(1)['.rdata']	07	A	Control
15055	0038a130	0078a130	Section(1)['.rdata']	06	A	Camera
15056	0038a140	0078a140	Section(1)['.rdata']	05	A	Mouse
15057	0038a148	0078a148	Section(1)['.rdata']	08	A	Standard
15058	0038a154	0078a154	Section(1)['.rdata']	08	A	Menu Bar
15059	0038a164	0078a164	Section(1)['.rdata']	0d	A	RecentScripts
15060	0038a174	0078a174	Section(1)['.rdata']	05	A	Color
15061	0038a17c	0078a17c	Section(1)['.rdata']	09	A	Command >
15062	0038a188	0078a188	Section(1)['.rdata']	08	A	FillTool
15063	0038a194	0078a194	Section(1)['.rdata']	08	A	Settings
15064	0038a1a0	0078a1a0	Section(1)['.rdata']	0a	A	fullscreen
15065	0038a4c4	0078a4c4	Section(1)['.rdata']	1a	A	OverrideLockViewGamelayout
15066	0038a4e0	0078a4e0	Section(1)['.rdata']	22	A	Software\ROBLOX Corporation\Roblox
15067	0038a504	0078a504	Section(1)['.rdata']	1b	A	ChangeDisplaySettings == %d
15068	0038a520	0078a520	Section(1)['.rdata']	15	A	GetMonitorInfo failed
15069	0038a538	0078a538	Section(1)['.rdata']	27	A	CMainFrame::ChangeResolution hm is NULL
15070	0038aaf0	0078aaf0	Section(1)['.rdata']	14	A	%s\RecentScripts.xml
15071	0038ab08	0078ab08	Section(1)['.rdata']	12	A	%s\IDESettings.xml
15072	0038ab1c	0078ab1c	Section(1)['.rdata']	07	A	\ROBLOX
15073	0038ab38	0078ab38	Section(1)['.rdata']	14	A	Roblox.MarshalWindow
15074	0038ab50	0078ab50	Section(1)['.rdata']	10	A	CMultiPlayerPane
15075	0038ad28	0078ad28	Section(1)['.rdata']	10	A	CBrowserFrameWnd
15076	0038b250	0078b250	Section(1)['.rdata']	08	A	CNullDoc
15077	0038b2f0	0078b2f0	Section(1)['.rdata']	0f	A	CMemberTreeView
15078	0038b300	0078b300	Section(1)['.rdata']	0e	A	CObjectBrowser
15079	0038b310	0078b310	Section(1)['.rdata']	0e	A	CClassTreeView
15080	0038b320	0078b320	Section(1)['.rdata']	10	A	CDeclarationView
15081	0038ba00	0078ba00	Section(1)['.rdata']	05	A	block
15082	0038bc34	0078bc34	Section(1)['.rdata']	07	A	Summary
15083	0038bc3c	0078bc3c	Section(1)['.rdata']	0a	A	SummaryDiv
15084	0038bc48	0078bc48	Section(1)['.rdata']	12	A	PreliminaryElement
15085	0038bc5c	0078bc5c	Section(1)['.rdata']	11	A	DeprecatedElement
15086	0038bc70	0078bc70	Section(1)['.rdata']	05	A	Owner
15087	0038bc78	0078bc78	Section(1)['.rdata']	08	A	OwnerDiv
15088	0038bc84	0078bc84	Section(1)['.rdata']	0b	A	Declaration
15089	0038bca0	0078bca0	Section(1)['.rdata']	06	A	%d: %s
15090	0038bca8	0078bca8	Section(1)['.rdata']	06	A	event 
15091	0038bd50	0078bd50	Section(1)['.rdata']	13	A	CStandardOutputView
15092	0038bd64	0078bd64	Section(1)['.rdata']	0b	A	COutputView
